E_x, E_y, E_z
-0.49753926+0.03123434i,-0.49753926+0.03123434i,-0.40477187+1.2367244i
-0.07563142+0.47905045i,-0.10084189+0.63873393i,+0.74096189+0.64751873i
-0.40351184-0.082611694i,-0.67251973-0.13768616i,-0.60331567+0.2064537i
-0.18794187+0.20466199i,-0.37588374+0.40932397i,-0.68142308-0.19274425i
-0.053413218-0.065609038i,-0.12463084-0.15308776i,+0.28690041+1.0885438i
-0.00021587347-0.17442605i,-0.00057566258-0.46513613i,+0.33298827-0.25407616i
-0.10935645+0.047183988i,-0.32806936+0.14155196i,+0.22883026+0.57658806i
-0.099505681-0.0031579913i,+0.2487642+0.0078949783i,+0.26484357-0.67108917i
+0.074937372-0.071330435i,-0.16860909+0.16049348i,+0.17804764+0.84595228i
+0.079055845-0.036099404i,-0.15811169+0.072198809i,-1.0018088+0.23830535i
+0.00071953468-0.23922454i,-0.0012591857+0.41864294i,-0.6329234-0.15154453i
-0.22516419+0.15167834i,+0.33774628-0.22751751i,-0.53140898-0.66203932i
-0.25741881+0.21447875i,+0.32177351-0.26809844i,+0.5148941+0.80210842i
-0.065955655+0.35275601i,+0.065955655-0.35275601i,-1.1259622-0.16457136i
-0.10084189+0.63873393i,+0.07563142-0.47905045i,+0.74096189+0.64751873i
+0.90325303+0.13723219i,-0.45162651-0.068616097i,+0.66358715+0.64862436i
+1.1327013-0.19167057i,-0.28317533+0.047917642i,+0.89974575-0.035244271i
-0.53963039+0.090772711i,+9.0292104e-16+4.0105427e-16i,-0.64376848-1.2799782i
+1.1327013-0.19167057i,+0.28317533-0.047917642i,+0.89974575-0.035244271i
+0.90325303+0.13723219i,+0.45162651+0.068616097i,+0.66358715+0.64862436i
-0.10084189+0.63873393i,-0.07563142+0.47905045i,+0.74096189+0.64751873i
-0.065955655+0.35275601i,-0.065955655+0.35275601i,-1.1259622-0.16457136i
-0.25741881+0.21447875i,-0.32177351+0.26809844i,+0.5148941+0.80210842i
-0.22516419+0.15167834i,-0.33774628+0.22751751i,-0.53140898-0.66203932i
+0.00071953468-0.23922454i,+0.0012591857-0.41864294i,-0.6329234-0.15154453i
+0.079055845-0.036099404i,+0.15811169-0.072198809i,-1.0018088+0.23830535i
+0.074937372-0.071330435i,+0.16860909-0.16049348i,+0.17804764+0.84595228i
-0.12508837+0.072224025i,+0.25017675-0.14444805i,+0.16182479+0.39919268i
-0.084772831-0.14483731i,+0.1525911+0.26070715i,-0.48308738+0.25844447i
-0.077059199-0.20786781i,+0.12329472+0.3325885i,-0.46435541+0.012428264i
-0.2905591+0.059476344i,+0.40678274-0.083266881i,-0.29700085+0.034266961i
+0.27186609-0.11501518i,-0.32623931+0.13801822i,+0.35513987+0.68424688i
+0.11876628-0.078861066i,-0.11876628+0.078861066i,-0.87566933+0.79307703i
-0.32177351+0.26809844i,+0.25741881-0.21447875i,+0.5148941+0.80210842i
-0.67251973-0.13768616i,+0.40351184+0.082611694i,-0.60331567+0.2064537i
+0.74474926+0.29732281i,-0.2978997-0.11892913i,+0.71131465-0.1465968i
+0.2129913-0.13649456i,-0.04259826+0.027298912i,-1.1234743-0.76762627i
-0.12605237+0.79841741i,-1.5161968e-16-1.334192e-15i,+0.74096189+0.64751873i
+0.2129913-0.13649456i,+0.04259826-0.027298912i,-1.1234743-0.76762627i
+0.74474926+0.29732281i,+0.2978997+0.11892913i,+0.71131465-0.1465968i
-0.67251973-0.13768616i,-0.40351184-0.082611694i,-0.60331567+0.2064537i
-0.32177351+0.26809844i,-0.25741881+0.21447875i,+0.5148941+0.80210842i
+0.11876628-0.078861066i,+0.11876628-0.078861066i,-0.87566933+0.79307703i
+0.27186609-0.11501518i,+0.32623931-0.13801822i,+0.35513987+0.68424688i
-0.2905591+0.059476344i,-0.40678274+0.083266881i,-0.29700085+0.034266961i
-0.077059199-0.20786781i,-0.12329472-0.3325885i,-0.46435541+0.012428264i
-0.084772831-0.14483731i,-0.1525911-0.26070715i,-0.48308738+0.25844447i
+0.063359557+0.076570158i,-0.10559926-0.12761693i,-0.79694266-0.049687476i
-0.026721931+0.16245199i,+0.040082897-0.24367798i,-0.5932502-0.20159519i
+0.13014865+0.1818267i,-0.17353154-0.2424356i,-0.36095383+0.35410424i
+0.0010178551-0.27570672i,-0.0011874976+0.32165785i,+0.49333988-0.13438741i
+0.31397709+0.061517493i,-0.31397709-0.061517493i,+0.001997667+0.62284967i
