X,Y,Z,Ex,Ey,Ez
+0,+140,+3,+5.1434e-20+2.94278e-20i,+0.00083998+0.000480592i,+0.0587986+0.0336415i
+0,+141,+3,+5.13409e-20+2.78753e-20i,+0.00083846+0.000455238i,+0.0591114+0.0320943i
+0,+142,+3,+5.12216e-20+2.6347e-20i,+0.000836512+0.000430279i,+0.0593924+0.0305498i
+0,+143,+3,+5.10767e-20+2.4843e-20i,+0.000834146+0.000405716i,+0.0596415+0.0290087i
+0,+144,+3,+5.09069e-20+2.33631e-20i,+0.000831373+0.000381548i,+0.0598589+0.0274715i
+0,+145,+3,+5.07128e-20+2.19074e-20i,+0.000828202+0.000357775i,+0.0600447+0.0259387i
+0,+146,+3,+5.04948e-20+2.04758e-20i,+0.000824643+0.000334395i,+0.060199+0.0244108i
+0,+147,+3,+5.02538e-20+1.90683e-20i,+0.000820706+0.000311409i,+0.0603219+0.0228885i
+0,+148,+3,+4.99901e-20+1.76848e-20i,+0.000816401+0.000288815i,+0.0604137+0.0213723i
+0,+149,+3,+4.97045e-20+1.63254e-20i,+0.000811737+0.000266615i,+0.0604744+0.0198628i
+0,+150,+3,+4.93975e-20+1.499e-20i,+0.000806723+0.000244806i,+0.0605042+0.0183605i
+0,+151,+3,+4.90697e-20+1.36786e-20i,+0.000801369+0.000223389i,+0.0605034+0.0168659i
+0,+152,+3,+4.87217e-20+1.23912e-20i,+0.000795685+0.000202364i,+0.0604721+0.0153796i
+0,+153,+3,+4.8354e-20+1.11277e-20i,+0.00078968+0.000181729i,+0.0604105+0.0139023i
+0,+154,+3,+4.79671e-20+9.88807e-21i,+0.000783363+0.000161484i,+0.0603189+0.0124343i
+0,+155,+3,+4.75618e-20+8.67233e-21i,+0.000776743+0.00014163i,+0.0601976+0.0109763i
+0,+156,+3,+4.71384e-20+7.48042e-21i,+0.000769829+0.000122165i,+0.0600467+0.00952884i
+0,+157,+3,+4.66977e-20+6.31232e-21i,+0.000762631+0.000103088i,+0.0598665+0.00809241i
+0,+158,+3,+4.624e-20+5.16799e-21i,+0.000755157+8.43997e-05i,+0.0596574+0.00666758i
